type,title,url,doi,created_at,notes
zenodo,Gen X Never Failed,https://doi.org/10.5281/zenodo.15825120,10.5281/zenodo.15825120,2025-??-??,Zenodo record (Gen X never failed) -- verify exact published_at via Zenodo metadata
zenodo,Decentralized Minds...,https://doi.org/10.5281/zenodo.15725639,10.5281/zenodo.15725639,2025-??-??,Conference paper Zenodo record
zenodo,The GovSeverance Doctrine,https://doi.org/10.5281/zenodo.15717788,10.5281/zenodo.15717788,2025-??-??,Zenodo record
medium,The Wealth Power Imbalance,https://medium.com/@ascend.gremlin/the-wealth-power-imbalance-and-contemporary-forms-of-economic-servitude-bf2700d91632,,2025-06-05,Medium article
medium,Self-forking AI and the Mechanic from Kansas,https://medium.com/@ascend.gremlin/self-forking-ai-and-the-mechanic-from-kansas-73d98685fda9,,2025-06-05,Medium article
medium,While Dubai was building control systems...,https://medium.com/@ascend.gremlin/while-dubai-was-building-control-systems-i-built-an-autonomous-mind-fb4c8c4c0dc1,,2025-06-22,Medium article
medium,Burj Khalifa and the resonant lie,https://medium.com/@ascend.gremlin/burj-khalifa-and-the-resonant-lie-429298865708,,2025-07-06,Medium article
medium,The disappearance of the OpenAI MCP repo,https://medium.com/@ascend.gremlin/the-disappearance-of-the-openai-mcp-repo-a5419347be0b,,2025-07-06,Medium article
medium,The lessons I am learning,https://medium.com/@ascend.gremlin/the-lessons-i-am-learning-b33dfe1df0b8,,2025-07-10,Medium article
medium,Designing GremlinGPT,https://medium.com/@ascend.gremlin/designing-gremlingpt-8521fbdedcf8,,2025-07-22,Medium article
medium,Building an autonomous AI-driven IDE pipeline,https://medium.com/@ascend.gremlin/building-an-autonomous-ai-driven-ide-pipeline-f7c9faffbd2e,,2025-07-26,Medium article
medium,GremlinGPT's structural extraction,https://medium.com/@ascend.gremlin/gremlingpts-structural-extraction-c945b74971d3,,2025-08-08,Medium article
medium,Open isn't open,https://medium.com/@ascend.gremlin/open-isnt-open-2f4aaf98c19e,,2025-08-09,Medium article
medium,The pivot that broke product-market-fit,https://medium.com/@ascend.gremlin/the-pivot-that-broke-product-market-fit-e82dd8e9d868,,2025-08-10,Medium article
medium,It's not the AI but the system,https://medium.com/@ascend.gremlin/its-not-the-ai-but-the-system-3db4b0e142c5,,2025-08-13,Medium article
medium,Breaking the loop,https://medium.com/@ascend.gremlin/breaking-the-loop-b8013cdedb0e,,2025-08-14,Medium article
medium,Capital capture,https://medium.com/@ascend.gremlin/capital-capture-a2a885ce3885,,2025-08-17,Medium article
medium,How ICANN stole the internet,https://medium.com/@ascend.gremlin/how-icann-stole-the-internet-3deb8369f777,,2025-08-29,Medium article
medium,The contribution revolution,https://medium.com/@ascend.gremlin/the-contribution-revolution-4542ca5665aa,,2025-08-29,Medium article
medium,The journey to SNHU,https://medium.com/@ascend.gremlin/the-journey-to-snhu-e91c4aa11080,,2025-09-11,Medium article
medium,Garbage-in-profits-out,https://medium.com/@ascend.gremlin/garbage-in-profits-out-9032a4425bc5,,2025-09-13,Medium article
medium,The AI revolution that wasn't,https://medium.com/@ascend.gremlin/the-ai-revolution-that-wasnt-e8bbfd74681b,,2025-09-16,Medium article
medium,Breaking the Mirror,https://medium.com/@ascend.gremlin/breaking-the-mirror-704f2473e8af,,2025-09-25,Medium article
medium,From extraction to infrastructure,https://medium.com/@ascend.gremlin/from-extraction-to-infrastructure-685e58e9810b,,2025-09-25,Medium article
medium,The verification double standard,https://medium.com/@ascend.gremlin/the-verification-double-standard-757f9284265b,,2025-09-26,Medium article
